sample_stamp_sec,sample_stamp_nanosec,pose1_stamp_sec,pose1_stamp_nanosec,pose1_x,pose1_y,pose1_z,pose2_stamp_sec,pose2_stamp_nanosec,pose2_x,pose2_y,pose2_z,distance,distance_sum
1755383467,179479684,1755383467,131035919,54.6580924987793,20.54851531982422,138.74566650390625,1755383467,133888051,55.878331947411965,20.946456514299392,144.47920463806483,5.875440,380.353613
1755383467,679670759,1755383467,638728273,55.64497756958008,20.882572174072266,140.35784912109375,1755383467,633899428,56.62911421840741,21.20467437584233,145.65140968903313,5.393891,385.747504
1755383468,179495692,1755383468,140089182,56.62833023071289,21.219039916992188,141.9197998046875,1755383468,133935384,57.37644102421771,21.46354355927189,146.76986233917467,4.913508,390.661012
1755383468,679479254,1755383468,647654916,57.587215423583984,21.54560089111328,143.4278564453125,1755383468,633921722,58.120125463654546,21.723028668064785,147.83410899782308,4.441907,395.102918
1755383469,179495986,1755383469,150429707,58.504703521728516,21.86008071899414,144.8842315673828,1755383469,133945828,58.86022212636885,21.983178237671915,148.84409442258345,3.977695,399.080614
1755383469,679494868,1755383469,649629362,59.383758544921875,22.16593360900879,146.2807159423828,1755383469,633944769,59.59653783044311,22.243953963573084,149.79946297236475,3.526038,402.606652
1755383470,179505008,1755383470,148714694,60.22641372680664,22.46357536315918,147.61679077148438,1755383470,133997480,60.3291695316062,22.5054200852327,150.70028536596743,3.085490,405.692142
1755383470,679514219,1755383470,649234922,61.033164978027344,22.751617431640625,148.8865509033203,1755383470,633941189,61.05770220903531,22.767457757548414,151.5460561061633,2.659666,408.351807
1755383471,179535021,1755383471,178363137,61.88499450683594,23.059288024902344,150.2072296142578,1755383471,133948495,61.78235467565477,23.0301748188836,152.33708147011208,2.132522,410.484330
1755383471,679462136,1755383471,625731281,62.556514739990234,23.304927825927734,151.22540283203125,1755383471,633930846,62.502953178728745,23.293538298512495,153.07324654378925,1.848655,412.332984
1755383472,179497664,1755383472,144371774,63.28594970703125,23.572776794433594,152.29483032226562,1755383472,133927312,63.219454630492805,23.557562249703615,153.75463155227663,1.461394,413.794379
1755383472,679510305,1755383472,676420496,64.06855773925781,23.86469268798828,153.3784637451172,1755383472,634128534,63.93206618858497,23.82235433192534,154.3815666266896,1.013231,414.807610
1755383473,179506750,1755383473,143641468,64.69883728027344,24.102937698364258,154.2001495361328,1755383473,133915368,64.63979130185933,24.087572631524516,154.9534190931937,0.755736,415.563346
1755383473,679509152,1755383473,627657969,65.39160919189453,24.36651611328125,155.03919982910156,1755383473,633934479,65.3435118733548,24.353576226542394,155.47118410187076,0.434846,415.998193
1755383474,179530577,1755383474,157541330,66.08180236816406,24.630538940429688,155.8025665283203,1755383474,133909959,66.04274713770425,24.620214670977035,155.9347730575335,0.138241,416.136433
1755383474,679584198,1755383474,654937169,66.75804901123047,24.89165687561035,156.47218322753906,1755383474,634248154,66.73799844742626,24.887711445464234,156.34480596569682,0.129006,416.265439
1755383475,179649316,1755383475,128363484,67.43312072753906,25.155330657958984,157.0496368408203,1755383475,134150226,67.42807721273607,25.155638821318732,156.70097008618353,0.348703,416.614143
1755383475,679633637,1755383475,634459916,68.10726928710938,25.419448852539062,157.52328491210938,1755383475,634091567,68.11355267021787,25.424244920809144,157.00404061915054,0.519304,417.133447
1755383476,179577828,1755383476,137804439,68.78627014160156,25.689611434936523,157.88717651367188,1755383476,133954277,68.79418669932366,25.69346605870075,157.25438164728988,0.632856,417.766303
1755383476,679509984,1755383476,677448298,69.52601623535156,25.98592758178711,158.12908935546875,1755383476,633973627,69.4702625086561,25.963445003346493,157.45258535416178,0.679170,418.445473
1755383477,179605051,1755383477,150363600,70.12964630126953,26.229616165161133,158.1672821044922,1755383477,134218904,70.14179405013994,26.234220719312248,157.59913362259505,0.568297,419.013770
1755383477,679521097,1755383477,652788039,70.79598236083984,26.500829696655273,158.081298828125,1755383477,633975192,70.80769941151206,26.505384993332143,157.69441100340384,0.387092,419.400862
1755383478,179538298,1755383478,158147042,71.46202850341797,26.774686813354492,157.94427490234375,1755383478,133960654,71.46892389395882,26.777350843297924,157.73921104557996,0.205197,419.606059
1755383478,679538413,1755383478,626942492,72.11724090576172,27.045581817626953,157.788330078125,1755383478,633985795,72.12520523116979,27.05004356158682,157.73411887022505,0.054974,419.661033
1755383479,179723720,1755383479,132354415,72.76925659179688,27.318737030029297,157.60531616210938,1755383479,134101012,72.77630093469816,27.323393398868646,157.6798173596835,0.074978,419.736012
1755383479,679627516,1755383479,637233538,73.41513061523438,27.591798782348633,157.38790893554688,1755383479,633990623,73.42202076495468,27.597349627842135,157.57707294185707,0.189371,419.925383
1755383480,179730680,1755383480,178753251,74.1202392578125,27.89286231994629,157.1044921875,1755383480,133939327,74.06239958493742,27.87195605288234,157.42666810665258,0.327994,420.253376
