sample_stamp_sec,sample_stamp_nanosec,actual_pos_stamp_sec,actual_pos_stamp_nanosec,actual_pos_x,actual_pos_y,actual_pos_z,target_pos_stamp_sec,target_pos_stamp_nanosec,target_pos_x,target_pos_y,target_pos_z,distance,distance_sum,hdg,hdg_target,hdg_distance,hdg_distance_total
1763182486,849604242,1763182486,796158758,85.95061492919922,33.457027435302734,148.67588806152344,1763182486,814247101,81.31227787202283,31.22111909857753,152.23493198228883,6.259413,453.460423,,223.22608947753906,0.0,0.0
1763182487,349362280,1763182487,307032619,86.46891784667969,33.74596405029297,147.81631469726562,1763182487,314386123,81.8782084642175,31.504727914576392,151.55163368916328,6.328535,459.788959,,224.2681121826172,0.0,0.0
1763182487,849479593,1763182487,804501427,86.97752380371094,34.032196044921875,146.93832397460938,1763182487,815021483,82.43850019324549,31.789309371095555,150.8344696350252,6.388523,466.177482,,225.3595428466797,0.0,0.0
1763182488,349450058,1763182488,311020140,87.48377990722656,34.3229866027832,146.0335693359375,1763182488,314513666,82.99127268041192,32.07393223084077,150.08710953834589,6.455390,472.632871,,226.495849609375,0.0,0.0
1763182488,850297325,1763182488,812041032,87.98352813720703,34.61552810668945,145.10719299316406,1763182488,814409462,83.5381646390531,32.35946265392427,149.30863241789996,6.519446,479.152318,,227.6793975830078,0.0,0.0
1763182489,349529738,1763182489,301938265,88.4775390625,34.91065216064453,144.1605987548828,1763182489,321238612,84.08612974178024,32.649650877582616,148.48952234838396,6.567814,485.720132,,228.92552185058594,0.0,0.0
1763182489,849340281,1763182489,801593496,88.95933532714844,35.20155715942383,143.2028045654297,1763182489,814727692,84.61341089098869,32.93292858727395,147.66426397563114,6.628601,492.348733,,230.1825714111328,0.0,0.0
1763182490,349737520,1763182490,304380795,89.4386978149414,35.49523162841797,142.21946716308594,1763182490,314586640,85.14095529325004,33.22049383141925,146.80211528223685,6.681743,499.030476,,231.49803161621094,0.0,0.0
1763182490,849344968,1763182490,827641829,89.91285705566406,35.79213333129883,141.21559143066406,1763182490,816633423,85.66442229278815,33.51012139137006,145.91048218064662,6.730437,505.760912,,232.86129760742188,0.0,0.0
1763182491,349391155,1763182491,338485513,90.38313293457031,36.090511322021484,140.1905517578125,1763182491,314418907,86.17655400207198,33.797798427473055,145.00324343575772,6.790717,512.551629,,234.25169372558594,0.0,0.0
1763182491,849405145,1763182491,806145264,90.84500885009766,36.38922119140625,139.15264892578125,1763182491,814391659,86.6844691113989,34.087525785027964,144.06931664458318,6.839701,519.391331,,235.6866455078125,0.0,0.0
1763182492,349398864,1763182492,332648615,91.29562377929688,36.68468475341797,138.10479736328125,1763182492,314529204,87.18584865718708,34.37804613894909,143.11400718043416,6.877719,526.269050,,237.15841674804688,0.0,0.0
1763182492,849312345,1763182492,830843449,91.73652648925781,36.98054885864258,137.0420379638672,1763182492,814459690,87.68025228539592,34.66913537575414,142.1394725488966,6.912296,533.181345,,238.66403198242188,0.0,0.0
1763182493,349638973,1763182493,319715039,92.17213439941406,37.279197692871094,135.96588134765625,1763182493,314760774,88.16822379356466,34.96114788547018,141.1459467953688,6.945339,540.126684,,240.20335388183594,0.0,0.0
1763182493,849646746,1763182493,827987181,92.6002426147461,37.5768928527832,134.87936401367188,1763182493,814600363,88.64885131206732,35.25356831412499,140.13662430227674,6.974964,547.101648,,241.7716064453125,0.0,0.0
1763182494,349459017,1763182494,337369295,93.02266693115234,37.877498626708984,133.78317260742188,1763182494,314356151,89.12247254410408,35.546625267324586,139.1121833046302,7.003059,554.104707,,243.36781311035156,0.0,0.0
1763182494,849368758,1763182494,826462030,93.43805694580078,38.17962646484375,132.6740264892578,1763182494,814767196,89.5897896555772,35.84079420761064,138.0723883970307,7.030050,561.134758,,244.99240112304688,0.0,0.0
1763182495,349465148,1763182495,276193199,93.8040542602539,38.45198440551758,131.67022705078125,1763182495,314490491,90.04939191647891,36.135218379306025,137.0217211192192,6.935660,568.070418,,246.63827514648438,0.0,0.0
1763182495,850022253,1763182495,807359748,94.20013427734375,38.75156784057617,130.55165100097656,1763182495,814352844,90.5020812833445,36.43043433007702,135.95973818461434,6.950587,575.021005,,248.3060302734375,0.0,0.0
1763182496,349489882,1763182496,335869183,94.62410736083984,39.0798225402832,129.3155975341797,1763182496,314346467,90.94778658517986,36.726432554030524,134.88792117102932,7.078458,582.099463,,249.99314880371094,0.0,0.0
1763182496,849604089,1763182496,838504481,95.00214385986328,39.37908935546875,128.181884765625,1763182496,814744540,91.38667537727352,37.02336531456439,133.80716448486606,7.089769,589.189232,,251.69793701171875,0.0,0.0
1763182497,349426948,1763182497,310025153,95.29997253417969,39.619163513183594,127.27494812011719,1763182497,314305117,91.81761425199548,37.32049041591851,132.72162862830507,6.861271,596.050503,,253.41354370117188,0.0,0.0
1763182497,849423821,1763182497,834248784,95.7085952758789,39.954872131347656,126.00982666015625,1763182497,814361379,92.24173370129361,37.61861364051819,131.62982290899802,7.004398,603.054901,,255.14187622070312,0.0,0.0
1763182498,349607493,1763182498,325304905,96.0750503540039,40.26471710205078,124.8591537475586,1763182498,314665138,92.65878021995434,37.91760275357599,130.53367115802592,7.027090,610.081992,,256.8794860839844,0.0,0.0
1763182498,849154730,1763182498,793527357,96.39586639404297,40.54356002807617,123.82901763916016,1763182498,814330529,93.06788434083843,38.21685886859581,129.43680698624868,6.923605,617.005596,,258.6200256347656,0.0,0.0
1763182499,349362252,1763182499,347731624,96.675048828125,40.791961669921875,122.9142074584961,1763182499,314306811,93.46988233577642,38.517019208515094,128.33832314266917,6.698469,623.704065,,260.3644104003906,0.0,0.0
1763182499,849439244,1763182499,808985095,97.0299301147461,41.11375427246094,121.7496566772461,1763182499,814475604,93.864610085763,38.81800399047039,127.23993470006147,6.740391,630.444457,,262.1092224121094,0.0,0.0
1763182500,349284244,1763182500,333172313,97.38029479980469,41.43941879272461,120.59070587158203,1763182500,314219740,94.25151551242139,39.11942023921682,126.14448131338366,6.783515,637.227971,,263.8492736816406,0.0,0.0
1763182500,849302081,1763182500,813570870,97.72097778320312,41.762149810791016,119.44342803955078,1763182500,814407419,94.63124118388835,39.42180104084977,125.05142217160616,6.817133,644.045104,,265.5846252441406,0.0,0.0
1763182501,349397315,1763182501,338807660,98.05363464355469,42.08580017089844,118.3036880493164,1763182501,314523922,95.00336447208349,39.724850283750825,123.9632175857653,6.848979,650.894083,,267.3105773925781,0.0,0.0
1763182501,849319919,1763182501,817374457,98.2811508178711,42.313785552978516,117.50921630859375,1763182501,814350406,95.36766043108585,40.02840999379619,122.88179333844147,6.525025,657.419108,,269.0231628417969,0.0,0.0
1763182502,349291520,1763182502,347003869,98.60716247558594,42.64988708496094,116.36685180664062,1763182502,316020397,95.72563141221669,40.333797537584715,121.80385420657952,6.574837,663.993945,,270.7267150878906,0.0,0.0
1763182502,849495539,1763182502,811178292,98.76754760742188,42.820194244384766,115.80058288574219,1763182502,814372511,96.07356468659874,40.63784595625626,120.74186159395038,6.036259,670.030205,,272.4005126953125,0.0,0.0
1763182503,349581858,1763182503,311836456,99.15756225585938,43.246646881103516,114.42423248291016,1763182503,314413167,96.41498631188693,40.94363294307291,119.68632069494086,6.365153,676.395357,,274.0585632324219,0.0,0.0
1763182503,849294873,1763182503,823448667,99.47607421875,43.60865783691406,113.29073333740234,1763182503,814329959,96.74855555189174,41.25002598262624,118.64248862744904,6.453200,682.848557,,275.69146728515625,0.0,0.0
1763182504,349277709,1763182504,341845159,99.77818298339844,43.9654426574707,112.1804428100586,1763182504,314630449,97.07460832136861,41.557372797603676,117.61046206255864,6.526349,689.374905,,277.2979431152344,0.0,0.0
1763182504,849344360,1763182504,818796024,100.06146240234375,44.30762481689453,111.096435546875,1763182504,814434667,97.39251548810289,41.86511132601116,116.59336986043694,6.580687,695.955592,,278.8719787597656,0.0,0.0
1763182505,349292386,1763182505,335818279,100.3006591796875,44.605247497558594,110.13809204101562,1763182505,314271275,97.7025609886446,42.17353662937765,115.59143144139867,6.511700,702.467293,,280.4120178222656,0.0,0.0
1763182505,849412060,1763182505,792857072,100.55486297607422,44.93617248535156,109.08927917480469,1763182505,814317253,98.00488697918135,42.482829798973725,114.60526644940279,6.553425,709.020718,,281.91583251953125,0.0,0.0
1763182506,349258515,1763182506,285763545,100.79069519042969,45.257633209228516,108.07083129882812,1763182506,314253194,98.29919042371506,42.79271679089639,113.63692166240655,6.577596,715.598314,,283.3790588378906,0.0,0.0
1763182506,849425427,1763182506,828635390,101.03802490234375,45.607643127441406,106.98173522949219,1763182506,814274522,98.58558686234569,43.10335006067402,112.68705421669802,6.696014,722.294328,,284.79931640625,0.0,0.0
1763182507,349283442,1763182507,337062765,101.25117492675781,45.92448043823242,106.02684783935547,1763182507,314036380,98.86385965636043,43.41452300956256,111.75739318352188,6.696141,728.990469,,286.1726989746094,0.0,0.0
1763182507,849220153,1763182507,832551704,101.45296478271484,46.23504638671875,105.10552978515625,1763182507,814235319,99.13436948833802,43.726678223933874,110.84770855584853,6.681348,735.671817,,287.49810791015625,0.0,0.0
1763182508,349277500,1763182508,331409149,101.64427185058594,46.54186248779297,104.21806335449219,1763182508,314345385,99.39677343037722,44.03946386097083,109.9600969246474,6.654637,742.326455,,288.77105712890625,0.0,0.0
1763182508,849298055,1763182508,818578571,101.82791137695312,46.849769592285156,103.36524200439453,1763182508,814336856,99.65104260475566,44.352872011730994,109.09557856913455,6.618913,748.945368,,289.9886474609375,0.0,0.0
1763182509,349556302,1763182509,290989478,102.00299835205078,47.15999984741211,102.54695892333984,1763182509,314042644,99.89716847382849,44.66691896767627,108.25507235712422,6.575145,755.520513,,291.1481018066406,0.0,0.0
1763182509,849324649,1763182509,840604902,102.18911743164062,47.506675720214844,101.68396759033203,1763182509,814385146,100.13527149282109,44.98179605986431,107.43902063527335,6.611652,762.132164,,292.2472839355469,0.0,0.0
1763182510,349412461,1763182510,287377455,102.33504486083984,47.79304885864258,101.01094818115234,1763182510,314259909,100.3651012374922,45.2972041152168,106.64910342960619,6.472922,768.605086,,293.28240966796875,0.0,0.0
1763182510,849524246,1763182510,835857298,102.5067138671875,48.14457702636719,100.22946166992188,1763182510,814228005,100.58679509507257,45.61335900017532,105.88563705921266,6.487332,775.092418,,294.25152587890625,0.0,0.0
1763182511,349455516,1763182511,322488747,102.65303802490234,48.46285629272461,99.5617904663086,1763182511,314166985,100.80027902939602,45.93019090766782,105.14962857659047,6.408669,781.501087,,295.1517639160156,0.0,0.0
1763182511,849469646,1763182511,829405154,102.79238891601562,48.7840690612793,98.93280029296875,1763182511,814145661,101.00557007439866,46.24776052061267,104.44173609766662,6.322496,787.823583,,295.980712890625,0.0,0.0
1763182512,349435818,1763182512,321041577,102.9229507446289,49.10633850097656,98.34786987304688,1763182512,314261692,101.2026450191721,46.56607160137126,103.76272047745665,6.223585,794.047168,,296.7359313964844,0.0,0.0
1763182512,849688913,1763182512,842298420,103.0452651977539,49.42851257324219,97.80786895751953,1763182512,814336300,101.39143594692939,46.885049816470726,103.11345964202914,6.111763,800.158931,,297.41473388671875,0.0,0.0
1763182513,349315361,1763182513,316174617,103.15968322753906,49.75059509277344,97.3155746459961,1763182513,314254893,101.57188637930685,47.20462535306804,102.49475294435523,5.985562,806.144493,,298.0147705078125,0.0,0.0
1763182513,849803755,1763182513,822694463,103.26567077636719,50.07509231567383,96.86837768554688,1763182513,814271199,101.74406841819814,47.524957742506814,101.90692051978337,5.848536,811.993029,,298.5340576171875,0.0,0.0
1763182514,349359573,1763182514,328608784,103.36394500732422,50.40174102783203,96.4699478149414,1763182514,314562615,101.90803427174073,47.846199592434644,101.35031710043175,5.698111,817.691140,,298.9706115722656,0.0,0.0
1763182514,849363904,1763182514,821402607,103.45459747314453,50.728389739990234,96.1250228881836,1763182514,814283030,102.06342666530082,48.167665292916126,100.82664067266099,5.531535,823.222675,,299.321533203125,0.0,0.0
1763182515,349512201,1763182515,326576450,103.53529357910156,51.052921295166016,95.83805847167969,1763182515,314445383,102.21061115162054,48.49013217856499,100.33510592760243,5.342856,828.565531,,299.58575439453125,0.0,0.0
1763182515,849332299,1763182515,825293080,103.60704803466797,51.3792610168457,95.60824584960938,1763182515,814232256,102.34931612428927,48.81304549519923,99.8770302296333,5.137107,833.702638,,299.7609558105469,0.0,0.0
1763182516,349322267,1763182516,319243949,103.66964721679688,51.70808792114258,95.4408950805664,1763182516,314306430,102.47971668376042,49.136842662965876,99.45220248210467,4.910990,838.613628,,299.8456726074219,0.0,0.0
1763182516,849898874,1763182516,814090562,103.7248306274414,52.03931427001953,95.34085845947266,1763182516,815172756,102.60190074098814,49.46184755299775,99.0606850844622,4.662769,843.276398,,299.8379821777344,0.0,0.0
1763182517,349567294,1763182517,313708207,103.77169799804688,52.369667053222656,95.29961395263672,1763182517,314506812,102.7152967102424,49.78652092534246,98.70457901995829,4.402546,847.678944,,299.73663330078125,0.0,0.0
1763182517,849203833,1763182517,816491524,103.81024932861328,52.6977424621582,95.29754638671875,1763182517,814330440,102.820382583846,50.112183811009004,98.38260119990284,4.145179,851.824123,,299.5400695800781,0.0,0.0
1763182518,349378034,1763182518,307466034,103.84040069580078,53.026580810546875,95.33464813232422,1763182518,314224759,102.91704661266043,50.43856601661108,98.09530937610634,3.895081,855.719204,,299.2470397949219,0.0,0.0
1763182518,849255665,1763182518,816109667,103.86197662353516,53.36014938354492,95.40404510498047,1763182518,814439656,103.00532503248486,50.765859162681025,97.84276738069366,3.662180,859.381384,,298.8560791015625,0.0,0.0
1763182519,349383047,1763182519,327841375,103.87468719482422,53.69753646850586,95.50482177734375,1763182519,314370152,103.08509120960271,51.09363129616372,97.625456108707,3.449764,862.831148,,298.3665771484375,0.0,0.0
1763182519,849300471,1763182519,812438054,103.87891387939453,54.033748626708984,95.63520812988281,1763182519,814337166,103.15639862100102,51.42210653468631,97.44329478685943,3.257588,866.088736,,297.7773742675781,0.0,0.0
1763182520,349500537,1763182520,318385052,103.87488555908203,54.37287139892578,95.79847717285156,1763182520,314184115,103.21921865502303,51.751175057226774,97.29638485474862,3.089809,869.178545,,297.0878601074219,0.0,0.0
1763182520,849317031,1763182520,836502050,103.86292266845703,54.71330642700195,95.99053955078125,1763182520,814655453,103.27363527509185,52.08138770870421,97.18454617095215,2.949561,872.128106,,296.2960510253906,0.0,0.0
1763182521,349356865,1763182521,339714354,103.84226989746094,55.05170440673828,96.21016693115234,1763182521,314281020,103.31946571324819,52.41162370342542,97.10808620876648,2.837183,874.965289,,295.4040832519531,0.0,0.0
1763182521,849462003,1763182521,842640931,103.81172180175781,55.386924743652344,96.45555114746094,1763182521,814457512,103.3568618749692,52.74293943845889,97.06663189104333,2.751541,877.716829,,294.4088439941406,0.0,0.0
1763182522,349494878,1763182522,330645331,103.77254486083984,55.721229553222656,96.72977447509766,1763182522,314803605,103.38576891707658,53.07506594626844,97.06016827435323,2.694613,880.411442,,293.3105773925781,0.0,0.0
1763182522,849531350,1763182522,805392358,103.72991943359375,56.0239372253418,97.00252532958984,1763182522,814652232,103.4061486396561,53.4074855448421,97.08848628968649,2.637809,883.049251,,292.1109313964844,0.0,0.0
1763182523,349341471,1763182523,339730194,103.66766357421875,56.39816665649414,97.36785125732422,1763182523,314334819,103.41803472228956,53.740466498861295,97.15130597093477,2.678167,885.727418,,290.80908203125,0.0,0.0
1763182523,850798795,1763182523,847261180,103.60302734375,56.73872375488281,97.72758483886719,1763182523,814262880,103.42143414694361,54.074266955298455,97.248410600912,2.713285,888.440702,,289.4041442871094,0.0,0.0
1763182524,349362994,1763182524,346081679,103.52946472167969,57.08143997192383,98.11521911621094,1763182524,314264268,103.41633772549137,54.40881337877893,97.37949654555766,2.774350,891.215053,,287.8965148925781,0.0,0.0
1763182524,849578571,1763182524,845766841,103.44705200195312,57.4250602722168,98.52842712402344,1763182524,814456137,103.4027330422125,54.74425001593653,97.54430312106169,2.856083,894.071135,,286.2857666015625,0.0,0.0
1763182525,349339030,1763182525,329303166,103.36460876464844,57.73447036743164,98.92439270019531,1763182525,314383681,103.3806533696658,55.07996380041301,97.74209800874864,2.905939,896.977074,,284.575439453125,0.0,0.0
1763182525,849410027,1763182525,815974976,103.27625274658203,58.045501708984375,99.341796875,1763182525,814172505,103.35009099272085,55.416341686786836,97.97260213314834,2.965237,899.942311,,282.7643127441406,0.0,0.0
1763182526,349215478,1763182526,330367309,103.16777801513672,58.396995544433594,99.83756256103516,1763182526,314232233,103.31102556092287,55.753572817513884,98.23547864172583,3.094330,903.036641,,280.85205078125,0.0,0.0
1763182526,849281993,1763182526,815088269,103.03855895996094,58.7888069152832,100.41000366210938,1763182526,814269722,103.26347980431913,56.09144772303628,98.53005161626405,3.295536,906.332177,,278.84063720703125,0.0,0.0
1763182527,349301284,1763182527,328617677,102.91522216796875,59.13304138183594,100.94351196289062,1763182527,314379363,103.20745016480627,56.43002654811694,98.8557974391485,3.427862,909.760039,,276.730712890625,0.0,0.0
1763182527,849732227,1763182527,833335768,102.78465270996094,59.47266387939453,101.49746704101562,1763182527,814331654,103.14297189469538,56.76915248404221,99.21193505592773,3.558233,913.318272,,274.5244445800781,0.0,0.0
1763182528,349148479,1763182528,337545372,102.64466857910156,59.81502151489258,102.07608032226562,1763182528,314192946,103.07005352465967,57.108857908014485,99.5978119192261,3.694061,917.012333,,272.22296142578125,0.0,0.0
1763182528,849573209,1763182528,830031318,102.49679565429688,60.15974426269531,102.67696380615234,1763182528,814407688,102.98862518250407,57.44947769098012,100.01312895810449,3.831900,920.844233,,269.8253173828125,0.0,0.0
1763182529,349714171,1763182529,297079789,102.3548583984375,60.47364807128906,103.23770141601562,1763182529,314539322,102.89876434850112,57.79069670068576,100.45678489927008,3.902250,924.746483,,267.3351745605469,0.0,0.0
1763182529,849788570,1763182529,842428680,102.1738510131836,60.85785675048828,103.94393157958984,1763182529,814788579,102.80043329996828,58.13268918648291,100.92823233374125,4.112613,928.859096,,264.7528381347656,0.0,0.0
1763182530,349895409,1763182530,327630242,101.99940490722656,61.2070426940918,104.60675048828125,1763182530,314604742,102.69380299401392,58.474935147721766,101.42590376375023,4.250222,933.109318,,262.0841064453125,0.0,0.0
1763182530,849528617,1763182530,846284534,101.81796264648438,61.55577087402344,105.2865982055664,1763182530,814149286,102.57884382638049,58.81763731178887,101.9491736560301,4.383460,937.492778,,259.32952880859375,0.0,0.0
1763182531,349271463,1763182531,305812257,101.64602661132812,61.87133026123047,105.91570281982422,1763182531,314070585,102.45539977853878,59.161288656796344,102.49791646142731,4.436291,941.929068,,256.4870910644531,0.0,0.0
1763182531,849193332,1763182531,836391852,101.42697143554688,62.25482940673828,106.69832611083984,1763182531,814268802,102.32350655175625,59.50578020884247,103.07108343191098,4.638743,946.567811,,253.55958557128906,0.0,0.0
1763182532,349768944,1763182532,299679584,101.2389907836914,62.57054901123047,107.3550796508789,1763182532,314528878,102.18322488812304,59.85097004132966,103.66750146614766,4.678239,951.246050,,250.5503692626953,0.0,0.0
1763182532,850185349,1763182532,813131460,101.02101135253906,62.925479888916016,108.10537719726562,1763182532,815594290,102.03436412286351,60.19731791444623,104.287021340786,4.800999,956.047050,,247.45758056640625,0.0,0.0
1763182533,352178902,1763182533,339675482,100.8869400024414,63.13804626464844,108.56063079833984,1763182533,314796654,101.8777316271704,60.54304564766356,104.92536994877007,4.575021,960.622071,,244.2997589111328,0.0,0.0
1763182533,850034004,1763182533,811991308,100.74507904052734,63.35880661010742,109.0363998413086,1763182533,814707152,101.71258696102028,60.88988755434947,105.58462636282184,4.352743,964.974814,,241.06381225585938,0.0,0.0
1763182534,350054372,1763182534,346443411,100.5434341430664,63.661190032958984,109.64514923095703,1763182534,314448449,101.5392310252152,61.237226717251716,106.26256144388174,4.278915,969.253728,,237.75804138183594,0.0,0.0
1763182534,850157180,1763182534,793460839,100.2078628540039,64.14842987060547,110.56878662109375,1763182534,814305847,101.35757315537693,61.58528799326203,106.95849701384779,4.574464,973.828192,,234.38299560546875,0.0,0.0
1763182535,349307156,1763182535,345379039,99.84650421142578,64.65449523925781,111.58214569091797,1763182535,314282472,101.16763325917424,61.93406197380743,107.67128533633851,4.943781,978.771973,,230.94155883789062,0.0,0.0
1763182535,849408036,1763182535,816145583,99.57217407226562,65.02897644042969,112.39704895019531,1763182535,814223284,100.96948895244068,62.283442438824835,108.39954596813804,5.046828,983.818801,,227.4376220703125,0.0,0.0
1763182536,349603016,1763182536,318068945,99.27951049804688,65.41535949707031,113.2977294921875,1763182536,314301970,100.76309580285076,62.63354358471122,109.14232869060845,5.216022,989.034823,,223.87301635742188,0.0,0.0
1763182536,849290698,1763182536,820539296,98.9940185546875,65.78278350830078,114.19258117675781,1763182536,814412148,100.54850136573828,62.98431689668584,109.89832189559314,5.356164,994.390987,,220.251220703125,0.0,0.0
1763182537,349809894,1763182537,334735015,98.70478057861328,66.14086151123047,115.08879852294922,1763182537,314722270,100.32568019225576,63.335835050034405,110.66645108771873,5.482029,999.873017,,216.57461547851562,0.0,0.0
1763182537,849424121,1763182537,831302479,98.40890502929688,66.4992446899414,115.98442840576172,1763182537,814775602,100.09479728368514,63.68787679393971,111.4449737922164,5.599346,1005.472362,,212.8486785888672,0.0,0.0
1763182538,349302368,1763182538,333091548,98.1056137084961,66.85689544677734,116.8786849975586,1763182538,314404200,99.85616579921145,64.04003490768451,112.23169001461467,5.709089,1011.181451,,209.08106994628906,0.0,0.0
1763182538,849227265,1763182538,806346615,97.79574584960938,67.21257019042969,117.76737976074219,1763182538,814320924,99.60925907749153,64.39313540587959,113.02714486603375,5.805848,1016.987299,,205.2663116455078,0.0,0.0
1763182539,349391828,1763182539,327025188,97.47774505615234,67.56629943847656,118.6536636352539,1763182539,314271028,99.35432026676779,64.7468555756889,113.8293096118139,5.894505,1022.881804,,201.41119384765625,0.0,0.0
1763182539,849452693,1763182539,847209744,97.12203216552734,67.95575714111328,119.6220474243164,1763182539,815060275,99.09087231301864,65.10186742877663,114.63839247643637,6.071065,1028.952870,,197.51171875,0.0,0.0
1763182540,349343970,1763182540,338427270,96.79087829589844,68.3097915649414,120.49908447265625,1763182540,314076674,98.82054087540166,65.45605326408273,115.44821757803291,6.146105,1035.098975,,193.5946807861328,0.0,0.0
1763182540,849354923,1763182540,837182878,96.4511947631836,68.6663589477539,121.37200927734375,1763182540,814202116,98.54159588663231,65.81174286558506,116.26275441229377,6.214748,1041.313723,,189.6378936767578,0.0,0.0
1763182541,349223907,1763182541,315382091,96.10834503173828,69.019775390625,122.2342758178711,1763182541,314207578,98.2548286663502,66.16793599581604,117.07835445310255,6.270878,1047.584600,,185.65594482421875,0.0,0.0
1763182541,849314925,1763182541,825385203,95.75698852539062,69.37454223632812,123.08810424804688,1763182541,814140775,97.96022926689007,66.52469135695402,117.8937804239537,6.321149,1053.905749,,181.65171813964844,0.0,0.0
1763182542,349393943,1763182542,314520902,95.39653015136719,69.7325210571289,123.93449401855469,1763182542,314542211,97.65750059538706,66.88239808133868,118.70853844250979,6.367558,1060.273307,,177.6244659423828,0.0,0.0
1763182542,849646584,1763182542,828818434,95.0286865234375,70.0898666381836,124.77080535888672,1763182542,814278937,97.34742049823488,67.24018413245038,119.51925952748628,6.409052,1066.682360,,173.58758544921875,0.0,0.0
1763182543,349243311,1763182543,308363936,94.65255737304688,70.44760131835938,125.59598541259766,1763182543,314544246,97.02921711860863,67.5989847832333,120.32667391411337,6.444282,1073.126642,,169.53416442871094,0.0,0.0
1763182543,849187096,1763182543,807088537,94.2685775756836,70.80667114257812,126.41183471679688,1763182543,814249489,96.70369169360512,67.95793840985662,121.12745200679166,6.478407,1079.605049,,165.47756958007812,0.0,0.0
1763182544,349273580,1763182544,344833823,93.83928680419922,71.20446014404297,127.29420471191406,1763182544,314302740,96.3702564347538,68.31774045817797,121.92175726088496,6.603192,1086.208241,,161.41357421875,0.0,0.0
1763182544,849713311,1763182544,810602729,93.48201751708984,71.53038787841797,128.00025939941406,1763182544,814476422,96.02907091063577,68.67824808629597,122.707867222164,6.529288,1092.737529,,157.34742736816406,0.0,0.0
1763182545,349372200,1763182545,343620841,93.03565216064453,71.92989349365234,128.847412109375,1763182545,314292275,95.68056015332292,69.03905877278378,123.48352004419166,6.642575,1099.380104,,153.2873077392578,0.0,0.0
1763182545,849624173,1763182545,790225323,92.6561050415039,72.2626724243164,129.53265380859375,1763182545,814322433,95.32434398393688,69.40061140539093,124.2482772870855,6.575373,1105.955477,,149.23187255859375,0.0,0.0
1763182546,349222981,1763182546,335589059,92.18635559082031,72.66862487792969,130.34686279296875,1763182546,314225204,94.96072453260005,69.76263935799422,125.00019021260744,6.687958,1112.643435,,145.18772888183594,0.0,0.0
